,,precision at 0.01,recall at 0.01,f1 at 0.01,precision at 0.05,recall at 0.05,f1 at 0.05,precision at 0.1,recall at 0.1,f1 at 0.1,precision at 0.2,recall at 0.2,f1 at 0.2,precision at 0.5,recall at 0.5,f1 at 0.5,auc
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'auto')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'ball_tree')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'distance', 'kd_tree')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'auto')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'ball_tree')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (1, 'uniform', 'kd_tree')",0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.8763943608487208,0.8529126437843582,0.8644940768834575,0.0
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'auto')",0.5060308623889052,0.9574074929551439,0.6621088446240595,0.5060308623889052,0.9574074929551439,0.6621088446240595,0.7060597559264974,0.9301057883309466,0.8027430576321192,0.8298430445065578,0.8914861181687994,0.8595608213442609,0.9499036608863198,0.8426571811336444,0.8930722154222767,0.4056210716178065
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'ball_tree')",0.5060308623889052,0.9574074929551439,0.6621088446240595,0.5060308623889052,0.9574074929551439,0.6621088446240595,0.7060597559264974,0.9301057883309466,0.8027430576321192,0.8298430445065578,0.8914861181687994,0.8595608213442609,0.9499036608863198,0.8426571811336444,0.8930722154222767,0.4056210716178065
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'distance', 'kd_tree')",0.5060308623889052,0.9574074929551439,0.6621088446240595,0.5060308623889052,0.9574074929551439,0.6621088446240595,0.7060597559264974,0.9301057883309466,0.8027430576321192,0.8298430445065578,0.8914861181687994,0.8595608213442609,0.9499036608863198,0.8426571811336444,0.8930722154222767,0.4056210716178065
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'uniform', 'auto')",0.49977136531010086,0.9593015198410865,0.6571726953384601,0.49977136531010086,0.9593015198410865,0.6571726953384601,0.7054868867957561,0.9307525292188294,0.8026132334780702,0.8292693397441401,0.8923638379452118,0.8596604436928417,0.9490502211813687,0.8424262022451148,0.8925652195193579,0.41113897519943454
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'uniform', 'ball_tree')",0.49977136531010086,0.9593015198410865,0.6571726953384601,0.49977136531010086,0.9593015198410865,0.6571726953384601,0.7054868867957561,0.9307525292188294,0.8026132334780702,0.8292693397441401,0.8923638379452118,0.8596604436928417,0.9490502211813687,0.8424262022451148,0.8925652195193579,0.41113897519943454
KNN,"['n_neighbors', 'weights', 'algorithm'] = (10, 'uniform', 'kd_tree')",0.49977136531010086,0.9593015198410865,0.6571726953384601,0.49977136531010086,0.9593015198410865,0.6571726953384601,0.7054868867957561,0.9307525292188294,0.8026132334780702,0.8292693397441401,0.8923638379452118,0.8596604436928417,0.9490502211813687,0.8424262022451148,0.8925652195193579,0.41113897519943454
KNN,"['n_neighbors', 'weights', 'algorithm'] = (100, 'distance', 'auto')",0.3546306761518516,0.9856331131334596,0.5215924508929117,0.5861541944979056,0.9567145562895552,0.72693448463469,0.6659165769820304,0.943271584977133,0.7806920282928694,0.7894527521476297,0.916986187462466,0.8484537624756898,0.9438822447102115,0.8531436226728877,0.8962220658530076,0.5522079829843461
KNN,"['n_neighbors', 'weights', 'algorithm'] = (100, 'distance', 'ball_tree')",0.3546306761518516,0.9856331131334596,0.5215924508929117,0.5861541944979056,0.9567145562895552,0.72693448463469,0.6659165769820304,0.943271584977133,0.7806920282928694,0.7894527521476297,0.916986187462466,0.8484537624756898,0.9438822447102115,0.8531436226728877,0.8962220658530076,0.5522079829843461
KNN,"['n_neighbors', 'weights', 'algorithm'] = (100, 'distance', 'kd_tree')",0.3546306761518516,0.9856331131334596,0.5215924508929117,0.5861541944979056,0.9567145562895552,0.72693448463469,0.6659165769820304,0.943271584977133,0.7806920282928694,0.7894527521476297,0.916986187462466,0.8484537624756898,0.9438822447102115,0.8531436226728877,0.8962220658530076,0.5522079829843461
KNN,"['n_neighbors', 'weights', 'algorithm'] = (100, 'uniform', 'auto')",0.3270355033189209,0.9923315009008177,0.4919444412636979,0.5459083147248128,0.9599482607289693,0.6960075026795285,0.6121105617442069,0.9493694276343142,0.7443182847105267,0.7446158432073925,0.9231764216750589,0.8243374239455501,0.9421331316187594,0.8055157758580865,0.8684846220894036,0.5716354457461765
KNN,"['n_neighbors', 'weights', 'algorithm'] = (100, 'uniform', 'ball_tree')",0.3270355033189209,0.9923315009008177,0.4919444412636979,0.5459083147248128,0.9599482607289693,0.6960075026795285,0.6121105617442069,0.9493694276343142,0.7443182847105267,0.7446158432073925,0.9231764216750589,0.8243374239455501,0.9421331316187594,0.8055157758580865,0.8684846220894036,0.5716354457461765
