,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 5, 5)",0.352299106,0.988543447,0.519468855,0.568910783,0.960317827,0.714523863,0.666644894,0.942948215,0.781081391,0.791257877,0.91652423,0.84929689,0.94339719,0.853097427,0.895977876,0.554551777
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 10)",0.35233391,0.988543447,0.519506688,0.569004215,0.960317827,0.714597549,0.666775553,0.942948215,0.781171068,0.791447263,0.91652423,0.849405972,0.94339719,0.853097427,0.895977876,0.554531363
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 2)",0.352330924,0.98840486,0.519484303,0.569046706,0.96017924,0.71459268,0.666851822,0.942809627,0.78117584,0.791580208,0.916385642,0.849422999,0.943919023,0.85295884,0.896136672,0.55492262
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('gini', 50, 5)",0.352336726,0.98840486,0.51949061,0.569062286,0.96017924,0.714604965,0.666851822,0.942809627,0.78117584,0.791580208,0.916385642,0.849422999,0.943919023,0.85295884,0.896136672,0.554917323
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 0.1, 5)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 0.1, 50)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 0.5, 5)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 0.5, 50)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 1.0, 5)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
GB,"['n_estimators', 'learning_rate', 'subsample', 'max_depth'] = (10, 0.001, 1.0, 50)",0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0.263095846,1,0.416588886,0,0,0,0.131547923
