,,precision at 0.99,recall at 1.0000000000000009%,f1 at 1.0000000000000009%,precision at 0.95,recall at 5.000000000000004%,f1 at 5.000000000000004%,precision at 0.9,recall at 9.999999999999998%,f1 at 9.999999999999998%,precision at 0.8,recall at 19.999999999999996%,f1 at 19.999999999999996%,precision at 0.5,recall at 50.0%,f1 at 50.0%,auc
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 10)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 2)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 5)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 10)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 2)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 5)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 10)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 2)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 5)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 10)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 2)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 5)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 10)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 2)",0.9959853826753822,0.6170402729504799,0.762000393778303,0.9931087289433385,0.7444277924811071,0.8509723158796407,0.990961145194274,0.7725837824048978,0.8682517783232696,0.9822263436497817,0.8105927744650999,0.8881939834387337,0.9455133781009707,0.8665221134530149,0.9042960300821936,0.035729404138076376
