,,precision at 99%,recall at  at 99%,f1 at  at 99%,precision at 95% ,recall at 95% ,f1 at 95% ,precision at 90%,recall at 90%,f1 at 90%,precision at 80%,recall at 80%,f1 at 80%,precision at 50%,recall at 50%,f1 at 50%,auc
KNN,"['n_neighbors', 'weights', 'algorithm'] = (25, 'uniform', 'ball_tree')",0.436352332,0.972605904,0.602429289,0.592107901,0.955190096,0.731049357,0.657017234,0.945719961,0.775366436,0.778361221,0.917586733,0.842259255,0.942687545,0.851018617,0.89451067,0.470190623
KNN,"['n_neighbors', 'weights', 'algorithm'] = (25, 'uniform', 'kd_tree')",0.436352332,0.972605904,0.602429289,0.592107901,0.955190096,0.731049357,0.657017234,0.945719961,0.775366436,0.778361221,0.917586733,0.842259255,0.942687545,0.851018617,0.89451067,0.470190623
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'distance', 'auto')",0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.873190238,0.877627385,0.875403189,0.940135985,0.849540352,0.892545137,0.321775515
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'distance', 'ball_tree')",0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.873190238,0.877627385,0.875403189,0.940135985,0.849540352,0.892545137,0.321775515
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'distance', 'kd_tree')",0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.581697277,0.93347808,0.716750909,0.873190238,0.877627385,0.875403189,0.940135985,0.849540352,0.892545137,0.321775515
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'uniform', 'auto')",0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.87261205,0.877812168,0.875204385,0.937003867,0.850649051,0.89174072,0.321013709
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'uniform', 'ball_tree')",0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.87261205,0.877812168,0.875204385,0.937003867,0.850649051,0.89174072,0.321013709
KNN,"['n_neighbors', 'weights', 'algorithm'] = (5, 'uniform', 'kd_tree')",0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.579772447,0.934540583,0.715599576,0.87261205,0.877812168,0.875204385,0.937003867,0.850649051,0.89174072,0.321013709
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'distance', 'auto')",0.349022365,0.986233658,0.515582926,0.493219416,0.962720007,0.652269171,0.690168176,0.936527001,0.794692382,0.789955428,0.916986187,0.848743987,0.943785773,0.853143623,0.896178576,0.556172191
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'distance', 'ball_tree')",0.349022365,0.986233658,0.515582926,0.493219416,0.962720007,0.652269171,0.690168176,0.936527001,0.794692382,0.789955428,0.916986187,0.848743987,0.943785773,0.853143623,0.896178576,0.556172191
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'distance', 'kd_tree')",0.349022365,0.986233658,0.515582926,0.493219416,0.962720007,0.652269171,0.690168176,0.936527001,0.794692382,0.789955428,0.916986187,0.848743987,0.943785773,0.853143623,0.896178576,0.556172191
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'uniform', 'auto')",0.331367433,0.991499977,0.496725219,0.474203201,0.966369474,0.636212953,0.673200886,0.940777013,0.784808663,0.773158222,0.919203585,0.839879282,0.943417598,0.846491431,0.892330168,0.57285818
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'uniform', 'ball_tree')",0.331367433,0.991499977,0.496725219,0.474203201,0.966369474,0.636212953,0.673200886,0.940777013,0.784808663,0.773158222,0.919203585,0.839879282,0.943417598,0.846491431,0.892330168,0.57285818
KNN,"['n_neighbors', 'weights', 'algorithm'] = (50, 'uniform', 'kd_tree')",0.331367433,0.991499977,0.496725219,0.474203201,0.966369474,0.636212953,0.673200886,0.940777013,0.784808663,0.773158222,0.919203585,0.839879282,0.943417598,0.846491431,0.892330168,0.57285818
