,,precision at 0.01,recall at 0.01,f1 at 0.01,precision at 0.05,recall at 0.05,f1 at 0.05,precision at 0.1,recall at 0.1,f1 at 0.1,precision at 0.2,recall at 0.2,f1 at 0.2,precision at 0.5,recall at 0.5,f1 at 0.5,auc
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 10)",0.33536099150206183,0.9911123081066523,0.501149033960337,0.5569827821809238,0.9605440344734716,0.7051031755838378,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756563563904176
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 2)",0.3353304326035948,0.9911123081066523,0.5011149125942569,0.5569131079709579,0.9606113654726636,0.7050654806029157,0.6613967620946684,0.9379881497441422,0.7757761381038564,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756945609804912
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 1, 5)",0.335292241811307,0.9911123081066523,0.5010722674200906,0.5567871360549528,0.9605440344734716,0.7049463853337946,0.6612397949496868,0.9379881497441422,0.7756681514476615,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5757137957366945
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 10)",0.335292241811307,0.9911123081066523,0.5010722674200906,0.5568044335167622,0.9606113654726636,0.7049783817171091,0.6612397949496868,0.9379881497441422,0.7756681514476615,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.575725228380463
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 2)",0.3353380718060871,0.9911123081066523,0.5011234425001702,0.5569175515302935,0.9605440344734716,0.7050509044183059,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756790597362357
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 10, 5)",0.33536099150206183,0.9911123081066523,0.501149033960337,0.5569827821809238,0.9605440344734716,0.7051031755838378,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756563563904176
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 10)",0.33536099150206183,0.9911123081066523,0.501149033960337,0.5569827821809238,0.9605440344734716,0.7051031755838378,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756584267129332
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 2)",0.3353151552427162,0.9911123081066523,0.5010978536535549,0.5568696330991413,0.9606113654726636,0.7050306384661,0.6612397949496868,0.9379881497441422,0.7756681514476615,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5757045998736707
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 100, 5)",0.33529987927382066,0.9911123081066523,0.5010807958742534,0.5568261650144407,0.9606113654726636,0.7049957997726936,0.6612711824179998,0.9379881497441422,0.7756897463737855,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5757190953484139
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 10)",0.33536099150206183,0.9911123081066523,0.501149033960337,0.5569827821809238,0.9605440344734716,0.7051031755838378,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756584267129332
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 2)",0.33536099150206183,0.9911123081066523,0.501149033960337,0.5569827821809238,0.9605440344734716,0.7051031755838378,0.6614281644668123,0.9379881497441422,0.7757977390432701,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756584267129332
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 20, 5)",0.335292241811307,0.9911123081066523,0.5010722674200906,0.5568044335167622,0.9606113654726636,0.7049783817171091,0.6612397949496868,0.9379881497441422,0.7756681514476615,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5757272987029787
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 10)",0.335292241811307,0.9911123081066523,0.5010722674200906,0.5568044335167622,0.9606113654726636,0.7049783817171091,0.6612397949496868,0.9379881497441422,0.7756681514476615,0.770813206796613,0.9132776730406679,0.8360195999876728,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5757272987029787
DT,"['criterion', 'max_depth', 'min_samples_split'] = ('entropy', 5, 2)",0.33535335125529686,0.9911123081066523,0.5011405031831955,0.5569783330080031,0.9606113654726636,0.7051177502656485,0.6613967620946684,0.9379881497441422,0.7757761381038564,0.7707694056142743,0.9132776730406679,0.8359938366718028,0.9518273687409772,0.8434554268785349,0.8943704708528184,0.5756739280555431
