SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-04883948,07/24/2017,Front,,Open,FRONT AND BACK DOORS AND WINDOWS,Vacant,false,true,11311,S,NORMAL,AVE,60628,1174985.76041312,1829893.43980308,34,22,49,41.68860727451533,-87.63501207876396,"(41.688607274515, -87.635012078764)"
Vacant/Abandoned Building,17-00577105,01/31/2017,Front,,Open,FRONT AND BACK,Vacant,false,false,950,N,PULASKI,RD,60651,1149558.48648366,1905714.839691,37,11,23,41.89720078163921,-87.7261404054131,"(41.897200781639, -87.726140405413)"
Vacant/Abandoned Building,17-00624617,02/03/2017,Front,,Open,,Vacant,false,false,8449,S,GILBERT,CT,60620,1172924.69001047,1848492.35998352,21,6,71,41.73969101634929,-87.64201082875977,"(41.739691016349, -87.64201082876)"
Vacant/Abandoned Building,17-05151540,08/03/2017,Front,,Open,,Vacant,false,false,1920,S,CHRISTIANA,AVE,60623,1154336.35490537,1890377.00877278,24,10,29,41.85501804196114,-87.70900163304178,"(41.855018041961, -87.709001633042)"
Vacant/Abandoned Building,17-01554638,03/21/2017,,,,,,,,10742,S,LANGLEY,AVE,60628,1182821.5307266,1833815.97996655,9,5,50,41.69919336066861,-87.60620473395127,"(41.699193360669, -87.606204733951)"
Vacant/Abandoned Building,17-03692808,06/05/2017,,,,,,,,7830,S,ESCANABA,AVE,60649,1196882.04057169,1853542.06051614,7,4,43,41.75298613527866,-87.55406858448461,"(41.752986135279, -87.554068584485)"
Vacant/Abandoned Building,17-02236179,04/15/2017,Front,,Open,DOORS/WINDOWS,Vacant,false,false,1528,S,HOMAN,AVE,60623,1153948.99751846,1892314.71458848,24,10,29,41.86034304771398,-87.71037181190927,"(41.860343047714, -87.710371811909)"
Vacant/Abandoned Building,17-03315661,05/23/2017,Front,,Boarded,,Vacant,false,false,1244,W,115TH,ST,60643,1169998.35036757,1828514.21760051,34,22,75,41.68493195758805,-87.65331057333428,"(41.684931957588, -87.653310573334)"
Vacant/Abandoned Building,17-04262780,06/27/2017,Garage,,Open,,Vacant,false,true,9649,S,WENTWORTH,AVE,60628,1176647.00056696,1840960.37710338,21,5,49,41.718939411244534,-87.62859884256115,"(41.718939411245, -87.628598842561)"
Vacant/Abandoned Building,17-01059939,02/24/2017,Front,,Open,FRONT AND REAR,Vacant,true,false,9949,S,YATES,AVE,60617,1194134.1269269,1839474.09709144,7,4,51,41.7144502582508,-87.56459885558546,"(41.714450258251, -87.564598855585)"
